date,product,region,quantity,sales
2024-01-01,노트북,광주,3,6032385
2024-01-01,스마트폰,광주,2,2477594
2024-01-01,이어폰,광주,2,165906
2024-01-01,태블릿,광주,3,1151001
2024-01-01,노트북,대구,1,2391334
2024-01-01,스마트폰,대구,2,2464104
2024-01-01,이어폰,대구,1,78625
2024-01-01,태블릿,대구,2,1305888
2024-01-01,노트북,부산,2,3719612
2024-01-01,스마트폰,부산,5,2639120
2024-01-01,이어폰,부산,2,531028
2024-01-01,태블릿,부산,5,3699490
2024-01-01,노트북,서울,3,3940725
2024-01-01,스마트폰,서울,2,1292632
2024-01-01,이어폰,서울,5,1256040
2024-01-01,태블릿,서울,5,1955805
2024-01-01,노트북,인천,3,6198315
2024-01-01,스마트폰,인천,3,4039005
2024-01-01,이어폰,인천,1,183709
2024-01-01,태블릿,인천,1,696922
2024-01-02,노트북,광주,1,1606915
2024-01-02,스마트폰,광주,4,4499336
2024-01-02,이어폰,광주,1,169893
2024-01-02,태블릿,광주,5,1560190
2024-01-02,노트북,대구,5,11527875
2024-01-02,노트북,대구,3,3737730
2024-01-02,스마트폰,대구,4,3659400
2024-01-02,이어폰,대구,2,318606
2024-01-02,태블릿,대구,2,1155492
2024-01-02,노트북,부산,5,6302830
2024-01-02,스마트폰,부산,3,4151382
2024-01-02,이어폰,부산,4,681492
2024-01-02,태블릿,부산,1,630776
2024-01-02,노트북,서울,3,3423330
2024-01-02,스마트폰,서울,3,2617584
2024-01-02,이어폰,서울,5,791755
2024-01-02,태블릿,서울,1,479451
2024-01-02,노트북,인천,5,8492450
2024-01-02,스마트폰,인천,5,4594005
2024-01-02,이어폰,인천,4,310648
2024-01-02,이어폰,인천,1,87487
2024-01-02,이어폰,인천,2,227752
2024-01-02,태블릿,인천,2,1668554
2024-01-03,노트북,광주,4,7541740
2024-01-03,스마트폰,광주,4,2507528
2024-01-03,이어폰,광주,2,290914
2024-01-03,태블릿,광주,1,880828
2024-01-03,노트북,대구,3,3906501
2024-01-03,스마트폰,대구,1,752572
2024-01-03,이어폰,대구,2,194628
2024-01-03,태블릿,대구,1,809597
2024-01-03,태블릿,대구,1,858582
2024-01-03,노트북,부산,2,2241054
2024-01-03,스마트폰,부산,3,3898650
2024-01-03,이어폰,부산,5,999755
2024-01-03,이어폰,부산,4,160844
2024-01-03,태블릿,부산,5,1502995
2024-01-03,노트북,서울,3,5135304
2024-01-03,스마트폰,서울,2,1951526
2024-01-03,이어폰,서울,1,186471
2024-01-03,태블릿,서울,3,2474706
2024-01-03,태블릿,서울,2,1664684
2024-01-03,노트북,인천,2,2711728
2024-01-03,스마트폰,인천,5,7074060
2024-01-03,이어폰,인천,3,717558
2024-01-03,태블릿,인천,5,2554610
2024-01-04,노트북,광주,2,2297558
2024-01-04,노트북,광주,4,7273852
2024-01-04,스마트폰,광주,4,2896520
2024-01-04,이어폰,광주,1,234693
2024-01-04,태블릿,광주,2,1394764
2024-01-04,노트북,대구,1,2212147
2024-01-04,스마트폰,대구,1,563556
2024-01-04,이어폰,대구,2,259448
2024-01-04,태블릿,대구,1,560735
2024-01-04,노트북,부산,5,8956310
2024-01-04,스마트폰,부산,2,2645466
2024-01-04,이어폰,부산,4,863012
2024-01-04,태블릿,부산,1,401639
2024-01-04,노트북,서울,1,1280125
2024-01-04,노트북,서울,1,865877
2024-01-04,스마트폰,서울,3,1722897
2024-01-04,이어폰,서울,5,496845
2024-01-04,태블릿,서울,4,2098572
2024-01-04,노트북,인천,2,2768302
2024-01-04,스마트폰,인천,4,3047764
2024-01-04,이어폰,인천,1,37737
2024-01-04,태블릿,인천,5,2013320
2024-01-05,노트북,광주,1,819535
2024-01-05,스마트폰,광주,4,4605328
2024-01-05,이어폰,광주,3,198198
2024-01-05,태블릿,광주,1,863750
2024-01-05,태블릿,광주,2,1660916
2024-01-05,태블릿,광주,3,1316670
2024-01-05,노트북,대구,2,3293556
2024-01-05,스마트폰,대구,1,1487335
2024-01-05,이어폰,대구,5,364910
2024-01-05,태블릿,대구,5,1708360
2024-01-05,노트북,부산,5,8999485
2024-01-05,스마트폰,부산,5,7320235
2024-01-05,이어폰,부산,2,131848
2024-01-05,태블릿,부산,5,1920010
2024-01-05,노트북,서울,4,5592840
2024-01-05,스마트폰,서울,4,4921716
